Count,Name,Author,BLDG_CH,BLDG_LET_1,BLDG_LETTE,BLDG_NUM,BLDG_NUM_2,BLDG_TYPE,Block Unit,CITY_CODE,Color,Comments,Drawing Revision Number,EdgeStyleId,FaceStyleId,File Accessed,File Created,File Last Saved By,File Location,File Modified,File Name,File Size,Hyperlink,Hyperlink Base,Keywords,Layer,Linetype,Linetype Scale,Lineweight,NUM_APTS_C,NUM_BUSNS_,NUM_ENTR,NUM_FLOORS,Plot Style,Position X,Position Y,Position Z,Rotation,Scale X,Scale Y,Scale Z,STREET_C_1,STREET_COD,STRT_TYPE,Subject,Title,Total Editing Time,Unit Factor,VisualStyleId,NAME1,Closed,Fit/Smooth,Length,Material,Constant,Height,Invisible,Lock Position,Obliquing,Preset,Prompt,Style,Tag,Value,Verify,Width Factor,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Thickness,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Contents,ContentsRTF,Position X1,Position Y1,Position Z1,ShowBorders,Width,Global Width
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,64.7051,ByLayer,,,,,,,,,,,,,92.1841,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,161.9840,ByLayer,,,,,,,,,,,,,1676.3054,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,87.8091,ByLayer,,,,,,,,,,,,,469.0857,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,36.9909,ByLayer,,,,,,,,,,,,,81.2417,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,53.1751,ByLayer,,,,,,,,,,,,,85.9954,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,172.0860,ByLayer,,,,,,,,,,,,,1660.2391,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,420.2438,ByLayer,,,,,,,,,,,,,2242.6292,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,106.7812,ByLayer,,,,,,,,,,,,,706.7827,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,106.8314,ByLayer,,,,,,,,,,,,,711.1208,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,177.1094,ByLayer,,,,,,,,,,,,,1667.7201,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
