Count,Name,BLDG_CH,BLDG_NUM,CITY_CODE,Layer,NUM_APTS_C,NUM_FLOORS,Position X,Position Y,Position Z,STREET_COD,STRT_TYPE,Closed,Length,Area
1,Polyline,,,,chelkot lines,,,,,,,,-1,62.4336,82.2549
1,Polyline,,,,chelkot lines,,,,,,,,-1,193.1241,2089.3619
1,Polyline,,,,chelkot lines,,,,,,,,-1,128.7483,329.5762
1,Polyline,,,,chelkot lines,,,,,,,,-1,106.2467,707.9671
1,Polyline,,,,chelkot lines,,,,,,,,-1,108.7397,682.3095
1,Polyline,,,,chelkot lines,,,,,,,,-1,62.2446,86.4872
1,Polyline,,,,chelkot lines,,,,,,,,-1,88.5256,486.4863
1,Polyline,,,,chelkot lines,,,,,,,,-1,107.6887,709.9524
1,Polyline,,,,chelkot lines,,,,,,,,-1,178.2681,1715.3718
1,Polyline,,,,chelkot lines,,,,,,,,-1,61.2423,68.6557
1,Polyline,,,,chelkot lines,,,,,,,,-1,89.6404,492.2422
1,Polyline,,,,chelkot lines,,,,,,,,-1,100.0619,553.7833
1,Polyline,,,,chelkot lines,,,,,,,,-1,68.3256,270.7848
1,2206,ירחסמ זכרמ,17,8300,2206,0,2,180040.0896,654711.6160,0.0000,114,29,,,
1,2206,ירחסמ זכרמ,17,8300,2206,0,2,180032.6077,654650.5735,0.0000,114,29,,,
1,2206,ירחסמ זכרמ,17,8300,2206,0,2,180034.9141,654675.1576,0.0000,114,29,,,
1,2206,ירחסמ זכרמ,17,8300,2206,0,2,180029.7607,654621.0651,0.0000,114,29,,,
1,2206,טלקמ,14,8300,2206,0,1,180195.2879,654647.7471,0.0000,130,28,,,
1,2206,טלקמ,13,8300,2206,0,1,179983.3489,654456.6579,0.0000,140,28,,,
1,2206,סיפ לעפמ ןכוד,14,8300,2206,0,1,180036.5218,654695.1358,0.0000,104,41,,,
1,2206,היישעת,10,8300,2206,0,1,180382.3796,654382.0420,0.0000,736,43,,,
1,2206,תסנכ תיב,34,8300,2206,1,1,180012.2314,654506.2830,0.0000,140,5,,,
1,2206,תסנכ תיב,32,8300,2206,1,2,180017.5309,654510.5893,0.0000,140,5,,,
1,2206,תסנכ תיב,36,8300,2206,1,1,180007.2907,654514.4567,0.0000,140,5,,,
1,2206,„†„ ‰‚ ˜…‰ƒ ‰,3,8300,2206,78,7,179917.4962,654614.8621,0.0000,128,99,,,
1,2206,—‘…‰—,20,8300,2206,0,1,180304.1829,654690.1255,0.0000,105,99,,,
1,2206,טלקמ,28,8300,2206,0,1,180140.8065,654335.0782,0.0000,108,28,,,
1,2206,תסנכ תיב,38,8300,2206,1,2,179993.4643,654515.7145,0.0000,140,5,,,
1,2206,תסנכ תיב,13,8300,2206,0,2,179990.3644,654435.5352,0.0000,140,5,,,
1,2206,האפרמ,4,8300,2206,1,1,179956.0353,654447.0702,0.0000,104,32,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
