Count,Name,BLDG_CH,BLDG_NUM,CITY_CODE,Layer,NUM_APTS_C,NUM_FLOORS,Position X,Position Y,Position Z,STREET_COD,STRT_TYPE,Closed,Length,Area
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,Polyline,,,,chelkot lines,,,,,,,,-1,167.2101,190.8833
1,Polyline,,,,chelkot lines,,,,,,,,-1,382.6173,1997.9854
1,Polyline,,,,chelkot lines,,,,,,,,-1,110.6763,685.8967
1,Polyline,,,,chelkot lines,,,,,,,,-1,546.2688,4372.2430
1,Polyline,,,,chelkot lines,,,,,,,,-1,141.5564,1148.4522
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,Polyline,,,,chelkot lines,,,,,,,,-1,953.0038,9349.9270
1,Polyline,,,,chelkot lines,,,,,,,,-1,389.4947,5820.4195
1,2206,םירוגמ,32,8300,2206,4,2,180093.6230,654352.2002,0.0000,108,18,,,
1,2802,,,,2802,,,180108.4400,654438.0300,62.4900,,,,,
1,Attribute Definition,,,,0,,,180108.4400,654438.5300,62.4900,,,,,
1,Attribute Definition,,,,0,,,180116.9677,654422.6558,62.1900,,,,,
1,2802,,,,2802,,,180118.1100,654422.3600,62.1900,,,,,
1,Attribute Definition,,,,0,,,180118.1100,654422.8600,62.1900,,,,,
1,Attribute Definition,,,,0,,,180114.5977,654437.5958,62.3000,,,,,
1,2802,,,,2802,,,179934.0800,654348.6500,61.5100,,,,,
1,Attribute Definition,,,,0,,,180115.7400,654437.8000,62.3000,,,,,
1,Attribute Definition,,,,0,,,180107.2977,654438.3258,62.4900,,,,,
1,2802,,,,2802,,,180115.7400,654437.3000,62.3000,,,,,
1,Attribute Definition,,,,0,,,180060.7577,654434.1558,63.1700,,,,,
1,2802,,,,2802,,,180100.6300,654414.7300,62.4300,,,,,
1,Attribute Definition,,,,0,,,180061.9000,654434.3600,63.1700,,,,,
