Name,BLDG_CH,BLDG_NUM,NUM_APTS_C,NUM_FLOORS,Position X,Position Y,Position Z,STREET_COD
Attribute Definition,,,,,180110.1600,654528.3860,64.2500,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
4402,,,,,180074.4100,654394.4800,62.5600,
Attribute Definition,,,,,179978.3700,654554.6103,63.0300,
Attribute Definition,,,,,179978.3700,654552.0599,63.0300,
Attribute Definition,,,,,179978.3700,654550.7760,63.0300,
Attribute Definition,,,,,179960.7300,654556.5003,61.8500,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180002.7700,654581.9403,63.4700,
Line,,,,,,,,
Attribute Definition,,,,,180174.5644,654561.6496,61.9115,
Attribute Definition,,,,,180174.5644,654560.3657,61.9115,
4402,,,,,180002.7700,654580.6900,63.4700,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180078.5100,654657.7303,64.0700,
Line,,,,,,,,
Attribute Definition,,,,,180002.7700,654579.3899,63.4700,
Attribute Definition,,,,,180002.7700,654578.1060,63.4700,
4402,,,,,180078.5100,654656.4800,64.0700,
Attribute Definition,,,,,180174.5644,654564.2000,61.9115,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
4402,,,,,180128.2106,654699.3364,64.5552,
Attribute Definition,,,,,180128.5190,654574.1396,66.0590,
Attribute Definition,,,,,180128.5190,654571.5892,66.0590,
Attribute Definition,,,,,180128.5190,654570.3053,66.0590,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
4402,,,,,180174.5644,654562.9497,61.9115,
Attribute Definition,,,,,180128.2106,654700.5866,64.5552,
Attribute Definition,,,,,180128.2106,654698.0363,64.5552,
Attribute Definition,,,,,180128.2106,654696.7523,64.5552,
Circle,,,,,,,,
Attribute Definition,,,,,180014.9200,654694.6103,63.4200,
Attribute Definition,,,,,180014.9200,654692.0599,63.4200,
Line,,,,,,,,
Attribute Definition,,,,,179997.2300,654649.1260,63.1700,
4402,,,,,180014.9200,654693.3600,63.4200,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180022.5900,654723.3303,62.7900,
Attribute Definition,,,,,180022.5900,654720.7799,62.7900,
Line,,,,,,,,
Attribute Definition,,,,,180014.9200,654690.7760,63.4200,
4402,,,,,180022.5900,654722.0800,62.7900,
Line,,,,,,,,
Attribute Definition,,,,,179997.2300,654650.4099,63.1700,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180143.3800,654606.3603,64.6900,
Line,,,,,,,,
Attribute Definition,,,,,180078.5100,654655.1799,64.0700,
Attribute Definition,,,,,180078.5100,654653.8960,64.0700,
4402,,,,,180143.3800,654605.1100,64.6900,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,179997.2300,654652.9603,63.1700,
Line,,,,,,,,
Attribute Definition,,,,,180143.3800,654603.8099,64.6900,
Attribute Definition,,,,,180143.3800,654602.5260,64.6900,
4402,,,,,179997.2300,654651.7100,63.1700,
Circle,,,,,,,,
Attribute Definition,,,,,180088.3885,654528.2809,64.5930,
4402,,,,,180128.2016,654684.5290,64.3993,
Line,,,,,,,,
Attribute Definition,,,,,180088.3885,654529.5648,64.5930,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180088.3885,654532.1152,64.5930,
Attribute Definition,,,,,180128.2016,654681.9450,64.3993,
4402,,,,,180216.1655,654534.9756,61.1370,
Line,,,,,,,,
Attribute Definition,,,,,180128.2016,654683.2289,64.3993,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180128.2016,654685.7793,64.3993,
Line,,,,,,,,
Attribute Definition,,,,,180000.8970,654488.6733,62.9392,
Attribute Definition,,,,,180000.8970,654487.3894,62.9392,
4402,,,,,180001.0572,654548.3732,63.6920,
Attribute Definition,,,,,180000.8970,654491.2237,62.9392,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180001.0572,654547.0731,63.6920,
Attribute Definition,,,,,180001.0572,654545.7892,63.6920,
4402,,,,,180088.3885,654530.8649,64.5930,
Attribute Definition,,,,,180001.0572,654549.6235,63.6920,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
4402,,,,,180172.7122,654412.2853,60.5494,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180200.4288,654388.1998,60.2831,
Circle,,,,,,,,
Attribute Definition,,,,,180200.4288,654392.0341,60.2831,
Attribute Definition,,,,,180200.4288,654389.4837,60.2831,
4402,,,,,180128.5190,654572.8893,66.0590,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180172.7122,654409.7013,60.5494,
Circle,,,,,,,,
Attribute Definition,,,,,180172.7122,654413.5356,60.5494,
Attribute Definition,,,,,180172.7122,654410.9852,60.5494,
Line,,,,,,,,
Attribute Definition,,,,,180216.1655,654532.3916,61.1370,
4402,,,,,179963.9588,654515.9137,61.7502,
Line,,,,,,,,
Attribute Definition,,,,,180216.1655,654533.6755,61.1370,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180216.1655,654536.2259,61.1370,
Attribute Definition,,,,,179963.9588,654513.3296,61.7502,
4402,,,,,180200.4288,654390.7838,60.2831,
Line,,,,,,,,
Attribute Definition,,,,,179963.9588,654514.6135,61.7502,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,179963.9588,654517.1639,61.7502,
4402,,,,,179952.6800,654524.2100,61.4100,
Line,,,,,,,,
Line,,,,,,,,
